* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 18dB  , MICROPHONE, L, volume: 0.318. Timing signal peak level 0.0 dBFS, measurement signal peak level zero
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 1, 2026 4:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ZMF Blackwood right
* Measurement: Blackwood R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
295.532227 100.624 -17.3604
295.898438 100.572 -17.3765
296.264648 100.539 -17.1716
296.630859 100.541 -16.9204
296.997070 100.570 -16.8125
297.363281 100.598 -16.9139
297.729492 100.603 -17.1389
298.095703 100.581 -17.3295
298.461914 100.546 -17.3699
298.828125 100.520 -17.2595
299.194336 100.514 -17.1001
299.560547 100.527 -17.0123
299.926758 100.542 -17.0497
300.292969 100.547 -17.1740
300.659180 100.536 -17.3003
301.025391 100.517 -17.3672
301.391602 100.500 -17.3766
301.757812 100.488 -17.3755
302.124023 100.476 -17.3988
302.490234 100.459 -17.4267
302.856445 100.437 -17.4012
303.222656 100.419 -17.2883
303.588867 100.418 -17.1328
303.955078 100.436 -17.0444
304.321289 100.459 -17.1125
304.687500 100.466 -17.3203
305.053711 100.445 -17.5363
305.419922 100.402 -17.6007
305.786133 100.363 -17.4485
306.152344 100.355 -17.1779
306.518555 100.379 -16.9894
306.884766 100.415 -17.0295
307.250977 100.430 -17.2730
